codigo,grado,seccion,grupo,momento,suma_notas,n_notas,dias_asistidos,dias_programados,reuniones_asistidas,reuniones_programadas,anio,deserto
EST-140,4,A,experimental,pre,153.6,9,43,55,2,3,2024,0
EST-141,4,B,experimental,pre,143.3,9,51,54,2,2,2024,0
EST-142,3,B,control,pre,98.3,9,49,53,1,4,2024,0
EST-143,4,B,experimental,pre,180.0,9,39,61,2,4,2024,1
EST-144,3,A,control,pre,130.4,10,40,51,2,2,2024,1
EST-145,3,A,control,pre,160.5,9,51,61,1,4,2024,0
EST-146,4,A,experimental,pre,127.6,9,45,45,1,3,2024,1
EST-147,4,A,experimental,pre,136.9,10,53,61,0,2,2024,1
EST-148,4,A,experimental,pre,105.4,9,48,50,2,3,2024,0
EST-149,3,B,control,pre,134.9,9,46,46,2,2,2024,1
EST-150,3,A,control,pre,102.1,10,33,51,1,4,2024,1
EST-001,3,B,control,pre,100.4,10,50,61,1,2,2025,1
EST-002,3,A,control,pre,105.3,10,47,55,1,2,2025,1
EST-003,3,B,control,pre,132.0,10,50,62,0,2,2025,0
EST-004,4,A,experimental,pre,117.0,9,48,56,2,4,2025,0
EST-005,4,A,experimental,pre,67.5,9,40,52,2,3,2025,1
EST-006,4,A,experimental,pre,149.3,9,46,46,2,3,2025,0
EST-007,4,A,experimental,pre,161.3,9,30,63,0,3,2025,1
EST-008,3,A,control,pre,105.4,10,60,60,3,3,2025,1
EST-009,4,B,experimental,pre,118.3,9,39,55,0,2,2025,1
EST-010,4,B,experimental,pre,132.8,9,47,48,1,2,2025,1
EST-011,3,A,control,pre,146.0,10,59,63,4,4,2025,0
EST-012,4,A,experimental,pre,173.7,9,36,54,1,3,2025,1
EST-013,3,A,control,pre,132.8,9,44,53,1,3,2025,1
EST-014,4,B,experimental,pre,129.5,9,50,64,1,3,2025,1
EST-015,4,A,experimental,pre,60.8,9,32,47,1,2,2025,1
EST-016,4,A,experimental,pre,108.0,10,47,49,1,3,2025,0
EST-017,4,A,experimental,pre,99.5,10,56,65,1,4,2025,1
EST-018,3,A,control,pre,163.4,9,43,61,4,4,2025,0
EST-019,4,B,experimental,pre,72.7,9,53,64,3,4,2025,1
EST-020,3,A,control,pre,113.2,10,50,52,1,2,2025,1
EST-021,4,B,experimental,pre,158.9,10,41,53,2,4,2025,0
EST-022,4,A,experimental,pre,152.8,10,65,65,1,2,2025,0
EST-023,4,A,experimental,pre,183.6,10,41,45,2,2,2025,0
EST-024,3,A,control,pre,123.1,9,36,56,2,4,2025,0
EST-025,3,A,control,pre,123.2,10,25,48,2,2,2025,0
EST-026,4,B,experimental,pre,95.4,9,35,65,3,4,2025,0
EST-027,4,B,experimental,pre,172.0,10,25,57,0,2,2025,0
EST-028,3,A,control,pre,136.8,9,49,60,2,4,2025,0
EST-029,4,A,experimental,pre,134.3,10,36,59,2,2,2025,1
EST-030,3,A,control,pre,141.5,9,38,55,2,3,2025,0
EST-031,3,B,control,pre,139.3,9,46,46,1,4,2025,1
EST-032,4,A,experimental,pre,104.0,10,49,55,1,4,2025,0
EST-033,3,A,control,pre,86.6,9,58,64,1,2,2025,0
EST-034,4,B,experimental,pre,127.4,10,60,61,0,3,2025,1
EST-035,4,A,experimental,pre,157.4,9,65,65,0,2,2025,0
EST-036,4,A,experimental,pre,134.3,10,60,64,2,4,2025,0
EST-037,3,B,control,pre,125.5,10,45,55,1,2,2025,1
EST-038,3,B,control,pre,107.5,10,49,49,1,4,2025,1
EST-039,3,B,control,pre,129.5,10,46,49,3,4,2025,1
EST-040,4,B,experimental,pre,105.8,9,43,48,2,3,2025,1
EST-041,4,B,experimental,pre,88.0,10,57,57,0,2,2025,1
EST-042,3,B,control,pre,135.8,10,42,51,2,4,2025,0
EST-043,3,B,control,pre,146.4,9,51,54,2,4,2025,1
EST-044,3,B,control,pre,127.9,9,35,45,0,3,2025,0
EST-045,4,A,experimental,pre,93.3,10,46,46,2,4,2025,1
EST-046,4,A,experimental,pre,117.2,10,56,60,1,2,2025,0
EST-047,3,B,control,pre,124.0,9,62,62,2,3,2025,0
EST-048,4,B,experimental,pre,148.2,9,34,52,0,3,2025,0
EST-049,3,A,control,pre,121.1,9,25,49,1,2,2025,0
EST-050,4,B,experimental,pre,167.6,9,50,53,1,2,2025,0
EST-051,4,A,experimental,pre,93.8,10,47,52,1,3,2025,0
EST-052,3,B,control,pre,124.4,10,48,53,0,3,2025,0
EST-053,3,B,control,pre,157.3,9,45,50,1,2,2025,0
EST-054,3,A,control,pre,125.1,9,48,52,2,2,2025,0
EST-055,4,B,experimental,pre,156.9,9,51,64,0,2,2025,0
EST-056,4,B,experimental,pre,122.3,10,52,52,1,3,2025,0
EST-057,3,A,control,pre,148.0,9,38,56,1,4,2025,0
EST-058,3,B,control,pre,180.5,10,46,47,2,4,2025,0
EST-059,4,B,experimental,pre,99.8,9,48,52,0,2,2025,0
EST-060,3,B,control,pre,84.4,9,33,45,3,4,2025,1
EST-061,4,B,experimental,pre,110.5,10,32,47,1,3,2025,1
EST-062,3,A,control,pre,78.6,9,48,59,1,2,2025,0
EST-063,4,A,experimental,pre,165.9,10,23,45,3,4,2025,0
EST-064,3,B,control,pre,118.3,9,26,52,3,4,2025,0
EST-065,3,A,control,pre,129.8,10,47,63,1,2,2025,0
EST-066,4,A,experimental,pre,92.7,9,46,46,4,4,2025,0
EST-067,3,A,control,pre,126.8,9,42,51,2,3,2025,0
EST-068,4,A,experimental,pre,103.2,9,55,55,0,3,2025,1
EST-069,3,A,control,pre,157.9,10,58,58,3,3,2025,0
EST-070,4,B,experimental,pre,150.6,9,41,56,1,2,2025,0
EST-071,3,B,control,pre,147.8,9,51,60,0,2,2025,0
EST-072,4,B,experimental,pre,139.0,9,56,65,1,2,2025,0
EST-073,4,B,experimental,pre,173.2,10,60,64,1,2,2025,0
EST-074,4,A,experimental,pre,157.6,10,62,62,1,4,2025,0
EST-075,3,B,control,pre,127.5,9,39,46,1,2,2025,0
EST-076,3,A,control,pre,148.5,10,30,50,3,4,2025,0
EST-077,4,A,experimental,pre,93.8,9,38,49,1,3,2025,0
EST-078,3,B,control,pre,117.7,9,41,53,0,4,2025,0
EST-079,4,B,experimental,pre,132.6,9,38,49,0,4,2025,0
EST-080,3,A,control,pre,139.2,10,46,52,4,4,2025,0
EST-081,3,A,control,pre,105.8,9,32,63,2,4,2025,0
EST-082,4,B,experimental,pre,119.1,10,40,62,2,2,2025,1
EST-083,3,B,control,pre,124.1,9,33,46,2,4,2025,0
EST-084,4,A,experimental,pre,128.6,10,49,64,3,4,2025,1
EST-085,3,B,control,pre,123.3,10,50,50,0,4,2025,0
EST-086,4,B,experimental,pre,130.0,9,48,49,1,2,2025,0
EST-087,4,B,experimental,pre,138.5,9,51,51,1,3,2025,0
EST-088,4,B,experimental,pre,116.1,10,39,57,1,2,2025,1
EST-089,3,A,control,pre,121.5,10,52,60,4,4,2025,0
EST-090,3,B,control,pre,127.2,9,58,58,2,3,2025,0
EST-091,4,B,experimental,pre,154.2,9,55,55,2,3,2025,1
EST-092,3,B,control,pre,128.9,9,30,52,2,4,2025,1
EST-093,3,B,control,pre,133.8,10,44,48,1,3,2025,1
EST-094,4,A,experimental,pre,135.0,10,48,48,0,4,2025,0
EST-095,3,A,control,pre,121.1,10,47,50,1,2,2025,0
EST-096,4,A,experimental,pre,171.7,10,37,52,2,3,2025,0
EST-097,3,B,control,pre,157.4,10,55,64,1,2,2025,0
EST-098,3,B,control,pre,127.2,10,42,59,1,4,2025,1
EST-099,4,B,experimental,pre,73.9,10,46,54,2,4,2025,1
EST-100,4,A,experimental,pre,126.0,10,54,59,1,2,2025,0
EST-101,3,A,control,pre,154.7,10,39,57,2,3,2025,1
EST-102,3,B,control,pre,139.8,9,46,52,2,3,2025,0
EST-103,3,B,control,pre,80.1,10,62,65,4,4,2025,1
EST-104,3,A,control,pre,109.2,9,29,52,1,2,2025,0
EST-105,4,B,experimental,pre,149.2,9,43,59,0,3,2025,1
EST-106,4,B,experimental,pre,133.7,9,32,46,1,2,2025,0
EST-107,4,A,experimental,pre,90.2,9,55,64,1,4,2025,0
EST-108,4,A,experimental,pre,151.6,10,46,46,0,4,2025,0
EST-109,4,A,experimental,pre,102.2,10,60,60,2,2,2025,0
EST-110,4,B,experimental,pre,104.5,10,43,45,0,3,2025,0
EST-111,4,B,experimental,pre,164.8,9,41,49,1,2,2025,0
EST-112,4,A,experimental,pre,88.3,9,46,58,0,4,2025,1
EST-113,3,A,control,pre,123.0,9,48,54,1,3,2025,0
EST-114,3,A,control,pre,89.0,9,38,50,2,3,2025,1
EST-115,3,A,control,pre,134.6,9,52,59,1,3,2025,0
EST-116,3,A,control,pre,124.3,9,38,59,2,3,2025,1
EST-117,3,A,control,pre,126.1,9,41,54,1,2,2025,1
EST-118,3,B,control,pre,112.0,10,40,62,2,3,2025,1
EST-119,4,B,experimental,pre,132.1,9,55,61,1,3,2025,1
EST-120,4,A,experimental,pre,133.2,9,36,56,2,2,2025,0
EST-121,3,B,control,pre,97.1,10,51,51,1,2,2025,1
EST-122,3,B,control,pre,115.2,10,52,56,2,3,2025,0
EST-123,4,B,experimental,pre,90.8,10,59,63,2,3,2025,0
EST-124,4,A,experimental,pre,139.3,9,42,49,1,2,2025,1
EST-125,4,B,experimental,pre,146.4,9,47,50,1,2,2025,0
EST-126,4,A,experimental,pre,149.9,10,31,45,3,4,2025,1
EST-127,4,A,experimental,pre,136.6,10,56,60,0,4,2025,0
EST-128,4,B,experimental,pre,186.7,10,51,56,1,2,2025,0
EST-129,3,A,control,pre,116.2,9,51,64,0,4,2025,1
EST-130,3,A,control,pre,86.8,9,55,64,0,3,2025,1
EST-131,4,A,experimental,pre,125.8,9,49,49,1,3,2025,0
EST-132,4,A,experimental,pre,140.9,10,52,60,3,4,2025,0
EST-133,4,A,experimental,pre,72.7,9,64,64,0,3,2025,1
EST-134,4,B,experimental,pre,119.6,10,42,61,1,3,2025,1
EST-135,4,A,experimental,pre,141.0,10,50,54,2,4,2025,0
EST-136,3,B,control,pre,136.5,9,44,60,2,3,2025,1
EST-137,4,A,experimental,pre,147.7,10,56,56,4,4,2025,0
EST-138,3,B,control,pre,124.5,10,63,64,2,3,2025,1
EST-139,3,B,control,pre,146.8,10,35,47,0,2,2025,1
EST-140,3,B,control,pre,133.1,10,33,46,1,3,2025,1
EST-141,3,A,control,pre,139.8,9,42,57,1,3,2025,0
EST-142,3,B,control,pre,172.4,10,37,63,1,2,2025,0
EST-143,4,A,experimental,pre,98.5,10,48,53,3,4,2025,1
EST-144,3,A,control,pre,198.6,10,33,57,1,3,2025,0
EST-145,3,A,control,pre,195.3,10,48,51,1,3,2025,0
EST-146,3,B,control,pre,71.4,9,50,59,1,2,2025,0
EST-147,4,B,experimental,pre,137.8,9,52,52,1,2,2025,1
EST-148,4,B,experimental,pre,142.8,9,56,56,4,4,2025,0
EST-149,4,B,experimental,pre,104.0,9,34,55,1,3,2025,0
EST-150,4,B,experimental,pre,142.0,10,44,47,3,3,2025,0
