codigo,grado,seccion,grupo,momento,suma_notas,n_notas,dias_asistidos,dias_programados,reuniones_asistidas,reuniones_programadas,anio,deserto,promedio,pct_asistencia,pct_reuniones
EST-120,3,A,control,pre,101.7,10,29,43,2,3,2024,0,10.17,67.44,66.67
EST-121,3,A,control,pre,110.0,10,38,49,1,2,2024,0,11.0,77.55,50.0
EST-122,3,A,control,pre,109.1,10,30,48,1,1,2024,0,10.91,62.5,100.0
EST-123,3,A,control,pre,196.8,10,41,50,2,3,2024,0,19.68,82.0,66.67
EST-124,3,B,control,pre,136.5,9,42,42,1,1,2024,0,15.17,100.0,100.0
EST-125,4,A,experimental,pre,112.9,9,30,42,0,1,2024,0,12.54,71.43,0.0
EST-126,4,A,experimental,pre,147.4,10,42,49,1,2,2024,0,14.74,85.71,50.0
EST-127,4,B,experimental,pre,137.4,9,28,41,1,1,2024,0,15.27,68.29,100.0
EST-128,3,A,control,pre,134.8,9,36,40,1,2,2024,0,14.98,90.0,50.0
EST-129,3,B,control,pre,83.3,10,44,48,0,3,2024,1,8.33,91.67,0.0
EST-130,4,A,experimental,pre,200.0,10,36,40,3,3,2024,0,20.0,90.0,100.0
EST-131,3,B,control,pre,94.1,10,32,40,2,3,2024,1,9.41,80.0,66.67
EST-132,3,B,control,pre,141.7,10,29,41,1,3,2024,0,14.17,70.73,33.33
EST-133,4,B,experimental,pre,134.0,9,28,45,1,2,2024,1,14.89,62.22,50.0
EST-134,3,B,control,pre,130.4,9,45,48,1,3,2024,0,14.49,93.75,33.33
EST-135,3,B,control,pre,174.4,10,37,44,2,3,2024,0,17.44,84.09,66.67
EST-136,4,A,experimental,pre,119.9,9,35,44,1,2,2024,1,13.32,79.55,50.0
EST-137,3,B,control,pre,141.9,9,43,47,3,3,2024,0,15.77,91.49,100.0
EST-138,3,B,control,pre,93.9,9,33,41,0,1,2024,0,10.43,80.49,0.0
EST-139,4,B,experimental,pre,153.5,10,22,42,0,3,2024,0,15.35,52.38,0.0
EST-140,4,A,experimental,pre,153.6,9,35,45,1,2,2024,0,17.07,77.78,50.0
EST-141,4,B,experimental,pre,143.3,9,42,44,1,1,2024,0,15.92,95.45,100.0
EST-142,3,B,control,pre,98.3,9,41,44,1,3,2024,0,10.92,93.18,33.33
EST-143,4,B,experimental,pre,180.0,9,31,48,2,3,2024,0,20.0,64.58,66.67
EST-144,3,A,control,pre,130.4,10,34,43,1,1,2024,1,13.04,79.07,100.0
EST-145,3,A,control,pre,160.5,9,40,48,0,3,2024,0,17.83,83.33,0.0
EST-146,4,A,experimental,pre,127.6,9,40,40,1,2,2024,1,14.18,100.0,50.0
EST-147,4,A,experimental,pre,136.9,10,42,48,0,1,2024,1,13.69,87.5,0.0
EST-148,4,A,experimental,pre,105.4,9,41,42,1,2,2024,0,11.71,97.62,50.0
EST-149,3,B,control,pre,134.9,9,41,41,1,1,2024,1,14.99,100.0,100.0
EST-150,3,A,control,pre,102.1,10,28,43,1,3,2024,1,10.21,65.12,33.33
EST-001,3,B,control,pre,100.4,10,39,48,1,1,2025,1,10.04,81.25,100.0
EST-002,3,A,control,pre,105.3,10,38,45,0,1,2025,1,10.53,84.44,0.0
EST-003,3,B,control,pre,132.0,10,40,49,0,1,2025,0,13.2,81.63,0.0
EST-004,4,A,experimental,pre,117.0,9,40,46,2,3,2025,0,13.0,86.96,66.67
EST-005,4,A,experimental,pre,67.5,9,34,44,1,2,2025,1,7.5,77.27,50.0
EST-006,4,A,experimental,pre,149.3,9,40,40,1,2,2025,0,16.59,100.0,50.0
EST-007,4,A,experimental,pre,161.3,9,24,49,0,2,2025,1,17.92,48.98,0.0
EST-008,3,A,control,pre,105.4,10,48,48,2,2,2025,1,10.54,100.0,100.0
EST-009,4,B,experimental,pre,118.3,9,32,45,0,1,2025,1,13.14,71.11,0.0
EST-010,4,B,experimental,pre,132.8,9,40,41,0,1,2025,1,14.76,97.56,0.0
EST-011,3,A,control,pre,146.0,10,46,49,3,3,2025,0,14.6,93.88,100.0
EST-012,4,A,experimental,pre,173.7,9,30,45,0,2,2025,1,19.3,66.67,0.0
EST-013,3,A,control,pre,132.8,9,37,44,1,2,2025,1,14.76,84.09,50.0
EST-014,4,B,experimental,pre,129.5,9,39,50,1,2,2025,1,14.39,78.0,50.0
EST-015,4,A,experimental,pre,60.8,9,27,41,0,1,2025,1,6.76,65.85,0.0
EST-016,4,A,experimental,pre,108.0,10,40,42,1,2,2025,0,10.8,95.24,50.0
EST-017,4,A,experimental,pre,99.5,10,43,50,1,3,2025,1,9.95,86.0,33.33
EST-018,3,A,control,pre,163.4,9,34,48,3,3,2025,0,18.16,70.83,100.0
EST-019,4,B,experimental,pre,72.7,9,41,50,2,3,2025,1,8.08,82.0,66.67
EST-020,3,A,control,pre,113.2,10,43,44,0,1,2025,1,11.32,97.73,0.0
EST-021,4,B,experimental,pre,158.9,10,34,44,1,3,2025,0,15.89,77.27,33.33
EST-022,4,A,experimental,pre,152.8,10,50,50,0,1,2025,0,15.28,100.0,0.0
EST-023,4,A,experimental,pre,183.6,10,36,40,1,1,2025,0,18.36,90.0,100.0
EST-024,3,A,control,pre,123.1,9,30,46,1,3,2025,0,13.68,65.22,33.33
EST-025,3,A,control,pre,123.2,10,22,41,1,1,2025,0,12.32,53.66,100.0
EST-026,4,B,experimental,pre,95.4,9,27,50,2,3,2025,0,10.6,54.0,66.67
EST-027,4,B,experimental,pre,172.0,10,20,46,0,1,2025,0,17.2,43.48,0.0
EST-028,3,A,control,pre,136.8,9,39,48,2,3,2025,0,15.2,81.25,66.67
EST-029,4,A,experimental,pre,134.3,10,29,47,1,1,2025,1,13.43,61.7,100.0
EST-030,3,A,control,pre,141.5,9,31,45,2,2,2025,0,15.72,68.89,100.0
EST-031,3,B,control,pre,139.3,9,40,40,1,3,2025,1,15.48,100.0,33.33
EST-032,4,A,experimental,pre,104.0,10,40,45,1,3,2025,0,10.4,88.89,33.33
EST-033,3,A,control,pre,86.6,9,45,50,1,1,2025,0,9.62,90.0,100.0
EST-034,4,B,experimental,pre,127.4,10,47,48,0,2,2025,1,12.74,97.92,0.0
EST-035,4,A,experimental,pre,157.4,9,50,50,0,1,2025,0,17.49,100.0,0.0
EST-036,4,A,experimental,pre,134.3,10,47,50,2,3,2025,0,13.43,94.0,66.67
EST-037,3,B,control,pre,125.5,10,37,45,1,1,2025,1,12.55,82.22,100.0
EST-038,3,B,control,pre,107.5,10,42,42,1,3,2025,1,10.75,100.0,33.33
EST-039,3,B,control,pre,129.5,10,39,42,3,3,2025,0,12.95,92.86,100.0
EST-040,4,B,experimental,pre,105.8,9,36,41,1,2,2025,1,11.76,87.8,50.0
EST-041,4,B,experimental,pre,88.0,10,46,46,0,1,2025,1,8.8,100.0,0.0
EST-042,3,B,control,pre,135.8,10,35,43,2,3,2025,0,13.58,81.4,66.67
EST-043,3,B,control,pre,146.4,9,42,44,1,3,2025,1,16.27,95.45,33.33
EST-044,3,B,control,pre,127.9,9,31,40,0,2,2025,0,14.21,77.5,0.0
EST-045,4,A,experimental,pre,93.3,10,40,40,2,3,2025,0,9.33,100.0,66.67
EST-046,4,A,experimental,pre,117.2,10,44,47,0,1,2025,0,11.72,93.62,0.0
EST-047,3,B,control,pre,124.0,9,49,49,2,2,2025,0,13.78,100.0,100.0
EST-048,4,B,experimental,pre,148.2,9,29,44,0,2,2025,0,16.47,65.91,0.0
EST-049,3,A,control,pre,121.1,9,21,42,0,1,2025,0,13.46,50.0,0.0
EST-050,4,B,experimental,pre,167.6,9,41,44,1,1,2025,0,18.62,93.18,100.0
EST-051,4,A,experimental,pre,93.8,10,39,43,1,2,2025,0,9.38,90.7,50.0
EST-052,3,B,control,pre,124.4,10,40,44,0,2,2025,0,12.44,90.91,0.0
EST-053,3,B,control,pre,157.3,9,38,42,1,1,2025,0,17.48,90.48,100.0
EST-054,3,A,control,pre,125.1,9,41,44,1,1,2025,0,13.9,93.18,100.0
EST-055,4,B,experimental,pre,156.9,9,40,50,0,1,2025,0,17.43,80.0,0.0
EST-056,4,B,experimental,pre,122.3,10,43,43,1,2,2025,0,12.23,100.0,50.0
EST-057,3,A,control,pre,148.0,9,31,46,1,3,2025,0,16.44,67.39,33.33
EST-058,3,B,control,pre,180.5,10,40,41,2,3,2025,0,18.05,97.56,66.67
EST-059,4,B,experimental,pre,99.8,9,40,43,0,1,2025,0,11.09,93.02,0.0
EST-060,3,B,control,pre,84.4,9,30,40,2,3,2025,1,9.38,75.0,66.67
EST-061,4,B,experimental,pre,110.5,10,28,41,1,2,2025,1,11.05,68.29,50.0
EST-062,3,A,control,pre,78.6,9,38,47,1,1,2025,0,8.73,80.85,100.0
EST-063,4,A,experimental,pre,165.9,10,21,40,3,3,2025,0,16.59,52.5,100.0
EST-064,3,B,control,pre,118.3,9,21,43,2,3,2025,0,13.14,48.84,66.67
EST-065,3,A,control,pre,129.8,10,36,49,1,1,2025,0,12.98,73.47,100.0
EST-066,4,A,experimental,pre,92.7,9,40,40,3,3,2025,0,10.3,100.0,100.0
EST-067,3,A,control,pre,126.8,9,35,43,1,2,2025,1,14.09,81.4,50.0
EST-068,4,A,experimental,pre,103.2,9,45,45,0,2,2025,1,11.47,100.0,0.0
EST-069,3,A,control,pre,157.9,10,47,47,2,2,2025,0,15.79,100.0,100.0
EST-070,4,B,experimental,pre,150.6,9,33,45,1,1,2025,0,16.73,73.33,100.0
EST-071,3,B,control,pre,147.8,9,41,48,0,1,2025,0,16.42,85.42,0.0
EST-072,4,B,experimental,pre,139.0,9,43,50,0,1,2025,1,15.44,86.0,0.0
EST-073,4,B,experimental,pre,173.2,10,47,50,0,1,2025,0,17.32,94.0,0.0
EST-074,4,A,experimental,pre,157.6,10,48,48,1,3,2025,0,15.76,100.0,33.33
EST-075,3,B,control,pre,127.5,9,35,41,0,1,2025,0,14.17,85.37,0.0
EST-076,3,A,control,pre,148.5,10,26,42,2,3,2025,0,14.85,61.9,66.67
EST-077,4,A,experimental,pre,93.8,9,32,42,1,2,2025,0,10.42,76.19,50.0
EST-078,3,B,control,pre,117.7,9,34,44,0,3,2025,0,13.08,77.27,0.0
EST-079,4,B,experimental,pre,132.6,9,33,42,0,3,2025,0,14.73,78.57,0.0
EST-080,3,A,control,pre,139.2,10,39,44,3,3,2025,0,13.92,88.64,100.0
EST-081,3,A,control,pre,105.8,9,25,49,1,3,2025,0,11.76,51.02,33.33
EST-082,4,B,experimental,pre,119.1,10,32,49,1,1,2025,1,11.91,65.31,100.0
EST-083,3,B,control,pre,124.1,9,28,40,2,3,2025,0,13.79,70.0,66.67
EST-084,4,A,experimental,pre,128.6,10,39,50,2,3,2025,1,12.86,78.0,66.67
EST-085,3,B,control,pre,123.3,10,42,42,0,3,2025,0,12.33,100.0,0.0
EST-086,4,B,experimental,pre,130.0,9,41,42,0,1,2025,0,14.44,97.62,0.0
EST-087,4,B,experimental,pre,138.5,9,43,43,0,2,2025,0,15.39,100.0,0.0
EST-088,4,B,experimental,pre,116.1,10,32,46,0,1,2025,1,11.61,69.57,0.0
EST-089,3,A,control,pre,121.5,10,41,48,3,3,2025,0,12.15,85.42,100.0
EST-090,3,B,control,pre,127.2,9,47,47,1,2,2025,0,14.13,100.0,50.0
EST-091,4,B,experimental,pre,154.2,9,45,45,1,2,2025,1,17.13,100.0,50.0
EST-092,3,B,control,pre,128.9,9,25,44,1,3,2025,1,14.32,56.82,33.33
EST-093,3,B,control,pre,133.8,10,38,41,1,2,2025,1,13.38,92.68,50.0
EST-094,4,A,experimental,pre,135.0,10,41,41,0,3,2025,0,13.5,100.0,0.0
EST-095,3,A,control,pre,121.1,10,40,42,1,1,2025,0,12.11,95.24,100.0
EST-096,4,A,experimental,pre,171.7,10,32,44,1,2,2025,0,17.17,72.73,50.0
EST-097,3,B,control,pre,157.4,10,42,49,1,1,2025,0,15.74,85.71,100.0
EST-098,3,B,control,pre,127.2,10,34,47,1,3,2025,1,12.72,72.34,33.33
EST-099,4,B,experimental,pre,73.9,10,38,44,1,3,2025,1,7.39,86.36,33.33
EST-100,4,A,experimental,pre,126.0,10,43,47,0,1,2025,0,12.6,91.49,0.0
EST-101,3,A,control,pre,154.7,10,32,46,2,2,2025,1,15.47,69.57,100.0
EST-102,3,B,control,pre,139.8,9,38,43,2,2,2025,0,15.53,88.37,100.0
EST-103,3,B,control,pre,80.1,10,48,50,3,3,2025,1,8.01,96.0,100.0
EST-104,3,A,control,pre,109.2,9,24,43,1,1,2025,0,12.13,55.81,100.0
EST-105,4,B,experimental,pre,149.2,9,34,47,0,2,2025,1,16.58,72.34,0.0
EST-106,4,B,experimental,pre,133.7,9,28,40,0,1,2025,0,14.86,70.0,0.0
EST-107,4,A,experimental,pre,90.2,9,43,50,1,3,2025,0,10.02,86.0,33.33
EST-108,4,A,experimental,pre,151.6,10,40,40,0,3,2025,0,15.16,100.0,0.0
EST-109,4,A,experimental,pre,102.2,10,48,48,1,1,2025,0,10.22,100.0,100.0
EST-110,4,B,experimental,pre,104.5,10,38,40,0,2,2025,0,10.45,95.0,0.0
EST-111,4,B,experimental,pre,164.8,9,35,42,0,1,2025,0,18.31,83.33,0.0
EST-112,4,A,experimental,pre,88.3,9,37,47,0,3,2025,1,9.81,78.72,0.0
EST-113,3,A,control,pre,123.0,9,40,45,1,2,2025,0,13.67,88.89,50.0
EST-114,3,A,control,pre,89.0,9,32,42,1,2,2025,1,9.89,76.19,50.0
EST-115,3,A,control,pre,134.6,9,42,47,1,2,2025,0,14.96,89.36,50.0
EST-116,3,A,control,pre,124.3,9,31,47,1,2,2025,1,13.81,65.96,50.0
EST-117,3,A,control,pre,126.1,9,34,45,0,1,2025,1,14.01,75.56,0.0
EST-118,3,B,control,pre,112.0,10,32,49,1,2,2025,1,11.2,65.31,50.0
EST-119,4,B,experimental,pre,132.1,9,43,48,1,2,2025,1,14.68,89.58,50.0
EST-120,4,A,experimental,pre,133.2,9,29,45,1,1,2025,0,14.8,64.44,100.0
EST-121,3,B,control,pre,97.1,10,43,43,0,1,2025,1,9.71,100.0,0.0
EST-122,3,B,control,pre,115.2,10,42,46,1,2,2025,0,11.52,91.3,50.0
EST-123,4,B,experimental,pre,90.8,10,46,49,1,2,2025,0,9.08,93.88,50.0
EST-124,4,A,experimental,pre,139.3,9,36,42,1,1,2025,0,15.48,85.71,100.0
EST-125,4,B,experimental,pre,146.4,9,40,42,0,1,2025,0,16.27,95.24,0.0
EST-126,4,A,experimental,pre,149.9,10,27,40,2,3,2025,1,14.99,67.5,66.67
EST-127,4,A,experimental,pre,136.6,10,45,48,0,3,2025,0,13.66,93.75,0.0
EST-128,4,B,experimental,pre,186.7,10,41,45,0,1,2025,0,18.67,91.11,0.0
EST-129,3,A,control,pre,116.2,9,40,50,0,3,2025,1,12.91,80.0,0.0
EST-130,3,A,control,pre,86.8,9,43,50,0,2,2025,1,9.64,86.0,0.0
EST-131,4,A,experimental,pre,125.8,9,42,42,1,2,2025,0,13.98,100.0,50.0
EST-132,4,A,experimental,pre,140.9,10,42,48,2,3,2025,0,14.09,87.5,66.67
EST-133,4,A,experimental,pre,72.7,9,50,50,0,2,2025,1,8.08,100.0,0.0
EST-134,4,B,experimental,pre,119.6,10,33,48,1,2,2025,0,11.96,68.75,50.0
EST-135,4,A,experimental,pre,141.0,10,41,44,2,3,2025,0,14.1,93.18,66.67
EST-136,3,B,control,pre,136.5,9,35,48,1,2,2025,1,15.17,72.92,50.0
EST-137,4,A,experimental,pre,147.7,10,46,46,3,3,2025,0,14.77,100.0,100.0
EST-138,3,B,control,pre,124.5,10,49,50,1,2,2025,1,12.45,98.0,50.0
EST-139,3,B,control,pre,146.8,10,30,41,0,1,2025,1,14.68,73.17,0.0
EST-140,3,B,control,pre,133.1,10,29,40,0,2,2025,1,13.31,72.5,0.0
EST-141,3,A,control,pre,139.8,9,34,46,0,2,2025,1,15.53,73.91,0.0
EST-142,3,B,control,pre,172.4,10,29,49,0,1,2025,1,17.24,59.18,0.0
EST-143,4,A,experimental,pre,98.5,10,40,44,2,3,2025,1,9.85,90.91,66.67
EST-144,3,A,control,pre,198.6,10,26,46,0,2,2025,0,19.86,56.52,0.0
EST-145,3,A,control,pre,195.3,10,40,43,0,2,2025,0,19.53,93.02,0.0
EST-146,3,B,control,pre,71.4,9,40,47,0,1,2025,0,7.93,85.11,0.0
EST-147,4,B,experimental,pre,137.8,9,44,44,0,1,2025,1,15.31,100.0,0.0
EST-148,4,B,experimental,pre,142.8,9,45,45,3,3,2025,0,15.87,100.0,100.0
EST-149,4,B,experimental,pre,104.0,9,28,45,1,2,2025,0,11.56,62.22,50.0
EST-150,4,B,experimental,pre,142.0,10,38,41,2,2,2025,0,14.2,92.68,100.0
